model_name,gpu_name,mean_duration,relevance_pass_rate,bert_raw_avg,bert_pass_rate,mpnet_raw_avg,mpnet_pass_rate,dpo_mean,dpo_norm_mean,rlhf_mean,rlhf_mean_norm,reciprocate_reward_mean,reciprocate_reward_mean_norm,total_reward,total_reward_excluding_relevance
WizardCoder-Python-13B-V1.0-GPTQ,RTX_3090,2.81303812796811,0.5341365461847389,-0.026428875118778245,0.5421686746987951,0.40011480440438,0.5983935742971888,-12.783932605421686,0.3379456698894501,-0.4249950446239645,0.24356619864103785,-1.2972117832728796,0.12647388163340617,0.12645807971721854,0.23675234473373996
AlpacaCielo-13B-GPTQ,RTX_3090,,,,,,,,,,,,,0.0,0.0
Airochronos-L2-13B-GPTQ,RTX_3090,2.3648715898653987,0.6481624758220503,-0.02372595072080821,0.6543520309477756,0.500723974188615,0.7058027079303675,-13.22290180730174,0.2872791878317034,-0.27770062061646483,0.2653043785858431,1.2742380462664697,0.2736266635776258,0.177851574754016,0.274393506857136
Speechless-Llama2-13B-GPTQ,RTX_4090,3.9368333002427347,0.971754691429677,-0.015489724700292784,0.9762042948345908,0.7052182510544194,0.9941961694718514,-11.860502514993229,0.47577425279984464,0.1641451747825161,0.3430979215596026,0.779327885078857,0.33444760819656705,0.36956387431477006,0.38030572692276454
CodeUp-Llama-2-13B-Chat-HF-GPTQ,RTX_4090,4.568395415463122,0.9357429718875502,-0.01649891429517159,0.9357429718875502,0.6655893127871565,0.9839357429718876,-11.725778112449799,0.49342721305697795,-0.09017331456301741,0.28565796180422526,0.39926625526002546,0.30707040465021707,0.33163897798348085,0.3544124700338486
llama-2-13B-Guanaco-QLoRA-GPTQ,RTX_3090,4.88443789452652,0.8381050463439753,-0.01644742445191546,0.8638516992790937,0.6065265632465187,0.862821833161689,-11.135430210478887,0.5575018977529602,-0.6671817971849656,0.21509884250274525,-2.2678419963005103,0.15372504728829947,0.2509350376661862,0.299407620513476
WizardLM-13B-V1.2-GPTQ,RTX_3090,4.406164960861206,0.62,-0.021401481460779862,0.692,0.47266142890974877,0.688,-11.8835546875,0.45911527836322785,-1.2637490515764802,0.15348236441612242,-2.5877535912298386,0.12605291986465453,0.14690491126775743,0.23694340527057647
Trurl-2-13B-GPTQ,RTX_4090,3.3404546592406192,0.8278529980657641,-0.01796584169909973,0.8384912959381045,0.632498372425154,0.900193423597679,-12.282152895309478,0.41536220829191706,-0.3250684384975078,0.26065262737080486,0.10575056031485584,0.2712369771368038,0.25683378184705913,0.3102408065769382
orca_mini_v3_13B-GPTQ,RTX_4090,3.570090832959217,0.9036144578313253,-0.016331599295947158,0.9196787148594378,0.6512845701698857,0.9558232931726908,-11.852817520080322,0.47400540484482023,-0.15701920403743605,0.2844377467670594,0.7098210991753472,0.32467286797412426,0.31931799431292923,0.35337858037297504
Hermes-LLongMA-2-7B-8K-GPTQ,RTX_3090,nan,,,,,,,,,,,,,
13B-Thorns-L2-GPTQ,RTX_4090,2.006615845820695,0.572092123088833,-0.026600905568076632,0.5780917360170311,0.4320009500271339,0.6330559318753629,-13.644006586268628,0.2357576413428689,-0.19832558426145114,0.27570448472925746,1.5075862346385909,0.2631344307327215,0.14871501301732293,0.2599494155143801
Airoboros-L2-13B-2.1-YaRN-64K-GPTQ,RTX_4090,nan,,,,,,,,,,,,,
